,age_days,num_mementos
273,0,0
274,5,1
275,0,0
276,0,0
277,0,0
278,273,1
279,273,1
280,273,1
281,273,1
282,1355,52
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,116,1
290,1,1
291,0,0
292,9,2
293,0,0
294,4,2
295,973,8
296,0,0
297,4181,80
298,0,0
299,2955,386
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,553,4
306,0,0
307,0,0
308,1,1
309,2,1
310,2,1
311,0,0
312,0,0
313,13,1
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,2,1
320,0,0
321,3027,13240
322,93,56
323,605,1
324,356,6
325,0,0
326,0,0
327,0,0
328,6370,111628
329,0,0
330,0,0
331,2326,42
332,2250,101
333,3923,1986
334,10191,3725
335,2,1
336,2,1
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,1,1
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,3,1
363,0,0
364,138,2
365,80,8
366,127,2
367,999,11
368,0,0
369,0,0
370,0,0
371,0,0
372,1,1
373,0,0
374,9,2
375,1,1
376,0,0
377,1,1
378,2,1
379,1,1
380,122,3
381,18,1
382,2593,1037
383,1016,6
384,637,4
385,618,13
386,2,2
387,2,2
388,1353,9
389,39,1
390,2,1
391,2,1
392,1,1
393,9431,2167
394,0,0
395,25,2
396,0,0
397,11,1
398,0,0
399,353,9
400,2,1
401,3,1
402,1111,13
403,1324,2
404,2802,2
405,1322,2
406,0,0
407,14,1
408,2,1
409,32,6
410,717,147
411,2,1
412,1,2
413,0,0
414,2635,235
415,0,0
416,1463,100
417,1019,4
418,829,1
419,2,1
420,1,1
421,178,82
422,2,1
423,1116,45
424,3,1
425,0,0
426,2,1
427,1479,12
428,1144,15
429,0,0
430,3,1
431,54,2
432,2,1
433,958,17
434,8630,11987
435,2,1
436,2,4
437,2,1
438,2,1
439,7377,80826
440,843,14
441,9387,7627
442,1612,1189
443,0,0
444,12,4
445,266,11
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,1,1
458,547,38
459,2,1
460,0,0
461,134,12
462,0,0
463,0,0
464,6269,1586
465,0,0
466,27,1
467,20,9
468,0,0
469,2,2
470,2,2
471,684,32
472,0,0
473,0,0
474,1,1
475,0,0
476,130,3
477,2,1
478,1165,148
479,0,0
480,45,3
481,30,1
482,0,0
483,0,0
484,0,0
485,0,0
486,10,4
487,75,34
488,22,45
489,4,32
490,0,0
491,1,3
492,1,1
493,0,0
494,5,2
495,0,0
496,6,4
497,2,4
498,0,0
499,49,1
500,0,0
501,0,0
502,4161,250
503,3,3
504,0,0
505,7,1
